fecha	valor	variacion
2022-04-30	1045	-0.016007532956685444
2022-05-31	1046	9.56937799043045e-4
2022-06-30	1048	0.0019120458891013214
2022-07-31	1023	-0.02385496183206104
2022-08-31	1011	-0.011730205278592365
2022-09-30	1015	0.003956478733926794
2022-10-31	1022	0.006896551724137945
2022-11-30	1041	0.018590998043052753
2022-12-31	1051	0.009606147934678289
2023-01-31	1052	9.514747859182826e-4
2023-02-28	1044	-0.0076045627376425395
2023-03-31	1029	-0.014367816091954033
2023-04-30	1015	-0.013605442176870763
2023-05-31	1015	0
2023-06-30	1028	0.012807881773398977
2023-07-31	1039	0.010700389105058328
2023-08-31	1181	0.13666987487969195
2023-09-30	1051	-0.1100762066045724
2023-10-31	972	-0.07516650808753567
2023-11-30	888	-0.0864197530864198
2023-12-31	1592	0.7927927927927927
2024-01-31	1353	-0.15012562814070352
2024-02-29	1223	-0.09608277900960827
2024-03-31	1127	-0.07849550286181517
